cddaId,cddaCountryCode,cddaRegionCode,siteName,legalFoundationDate,FDsource
555546976,FR,FR,Coteaux D'Availles-Thouarsais,,http://www.cren-poitou-charentes.org/wp-content/uploads/2016/10/Coteaux_Availles_Thouarsais_cenpc-1.pdf
555559720,FR,FR,"Pelouses Seches Des Vallons De Tote D'Homme, Sonnaize, Tourniers Et Ecalon",2006,http://www.genieecologique.fr/sites/default/files/documents/rex/3-rex_cdr_ge.pdf
555546891,FR,FR,Pelouse Calcaire Et Foret De Buis Du Stromberg,2005,"http://www.maisondelanature.eu/en/2011/09/04/pelouses-calcaires-et-foret-de-buis-du-stromberg/ french part protected in 2005, lux side in 1993"
555640399,FR,FR,Val De Seugne,2001,http://www.natura.org/sites_fr_seugnes.html
555546790,FR,FR,Rochers De Clamouzat,1988,http://www.nouvelle-aquitaine.developpement-durable.gouv.fr/IMG/pdf/20_Fiche_rochers_chamouzat_faux_23_cle6167d4.pdf ... alternative date or additnl protection in 2008?: https://fauxlamontagne.fr/rochers-de-clamouzat/
555640139,FR,FR,Landes Serpentinicoles De La Flotte Et Du Cluzeau,1997,http://www.nouvelle-aquitaine.developpement-durable.gouv.fr/IMG/pdf/docob_serpentines_sud87_3_cle2313df.pdf
555640138,FR,FR,Costieres De Nimes,2006,http://www.occitanie.developpement-durable.gouv.fr/IMG/pdf/Fiche_de_synthese_Costieres_nimoises_cle14df44.pdf
555640099,FR,FR,Bords De L'Arve A Vougy,2009,http://www.pole-gestion.fr/d/bords-de-l-arve-a-vougy/
555640477,FR,FR,Ens Du Lac Genin Et Des Tourbieres Des Renons Et Des Molonnes,,http://www.pole-gestion.fr/d/ens-lac-genin-tourbiere-des-molonnes/
555640472,FR,FR,Tourbieres De Creux De L'Ane Et Mont L'Hermet,2015,http://www.pole-gestion.fr/d/tourbieres-de-creux-de-l-ane-mont-l-hermet-et-rochessac-nord/
555640469,FR,FR,Tourbieres De La Grande Pierre Bazanne,2005,http://www.pole-gestion.fr/d/tourbieres-de-la-grande-pierre-bazanne/
555640478,FR,FR,"Tourbieres De Geneste, De La Vestide Et Des Narces",2004,http://www.pole-gestion.fr/uploads/media/gestion/0001/04/pdg_2015_2020.pdf ... see page 40. The land was going out of use for years before it was protected. Might be a good image to include in the paper/supplemental figures. 
555546668,FR,FR,"Tourbieres De La Verrerie, Du Font De L'Aigle Et De Prat Sauvage",2007,http://www.pole-gestion.fr/uploads/media/gestion/0001/04/pdg_verrerie_font_aigle_prat_sauvage_2014_2018_1.pdf
555546946,FR,FR,Tourbieres De La Lizonne,,http://www.rivieres-dronne.com/principaux-cours-d-eau-du-bassin/les-principaux-cours-d-eau/la-lizonne?limitstart=0
555640361,FR,FR,Tourbiere Du Bourdet - Amure,1990,"http://www.sevre-niortaise.fr/IIBSN_/wp-content/uploads/rapport_Bourdet-Avril-2013.pdf page 8, protected in 1990. Renewal of protection in 2006."
555547056,FR,FR,Ubac Des Maures,2008,http://www1.onf.fr/midimed/sommaire/patrimoine_a_decouvrir/nos_reserves_biologiques/20151104-111545-917813/@@index.html
555640241,FR,FR,Le Trou Boully,,http://zones-humides.org/le-trou-boully-%C3%A0-l%E2%80%99honneur
555546975,FR,FR,Champs-Pourris,,https://archives.marne.fr/search/results?target=controlledAccessGeographicName&keyword=Champs%20Pourris
555546955,FR,FR,Marais Du Passage De La Ronde,2005,https://biodiversite.parc-marais-poitevin.fr/wp-content/uploads/2019/05/synthese-rhopaloceres-MP-2007.pdf
555640525,FR,FR,La Bialle - Les Bassins-Mollard,2005,https://carmen.developpement-durable.gouv.fr/IHM/metadata/RHA//Publication/zones_humides/73CPNS2008.pdf ... but maybe also 1993?: http://aiton.webcollectivites.fr/site/wp-content/uploads/2019/07/Biotope2.pdf
555547066,FR,FR,Marais De Bondeloge,,https://carmen.developpement-durable.gouv.fr/IHM/metadata/RHA//Publication/zones_humides/73CPNS2014.pdf
555640449,FR,FR,Plaine Alluviale De L'Alagnon,,https://cen-auvergne.fr/sites/default/files/fichiers/plaine_alluviale_alagnon.pdf
